Title,Description,Author,Rating,Reviews,Total Hours,Number of Lectures,Difficulty,Discounted Price,Original Price,Tags
Javascript for Beginners Learn by Doing Practical Exercises,JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,"Edwin Diaz, Coding Faculty Solutions",4.4 out of 5,"15,390",4 total hours,31 lectures,All Levels,₱649,"₱1,990",None
"MERN Stack Front To Back: Full Stack React, Redux & Node.js","Build and deploy a social network with Node.js, Express, React, Redux & MongoDB. Fully updated April 2019",Brad Traversy,4.5 out of 5,"15,044",12 total hours,73 lectures,Intermediate,₱899,"₱2,450",None
The Complete Ruby on Rails Developer Course,Learn to make innovative web apps with Ruby on Rails and unleash your creativity,"Rob Percival, Mashrur Hossain, Codestars • over 2 million students worldwide!",4.5 out of 5,"14,874",48 total hours,432 lectures,All Levels,₱899,"₱4,490",Bestseller
Learn HTML5 Programming From Scratch,A Complete HTML5 Programming Course for Beginners,Eduonix Learning Solutions,4.3 out of 5,"14,659",17 total hours,72 lectures,All Levels,₱649,₱899,None
The Complete WordPress Website Business Course,"Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!","Rob Percival, Gregg Davis, Codestars • over 2 million students worldwide!",4.4 out of 5,"14,603",22 total hours,116 lectures,All Levels,₱899,"₱2,450",None
Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",Stephen Grider,4.5 out of 5,"14,351",26 total hours,219 lectures,All Levels,₱799,"₱3,990",None
Docker Crash Course for busy DevOps and Developers,Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,"Tao W., Level Up, James Lee",4.4 out of 5,"14,267",3 total hours,49 lectures,All Levels,₱699,"₱2,250",None
Microservices with Node JS and React,"Build, deploy, and scale an E-Commerce app using Microservices built with Node, React, Docker and Kubernetes",Stephen Grider,4.8 out of 5,"14,052",54.5 total hours,663 lectures,All Levels,₱899,"₱4,790",Bestseller
The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,Stephen Grider,4.7 out of 5,"13,930",13 total hours,139 lectures,All Levels,₱699,"₱1,890",None
Ultimate Web Designer & Web Developer Course,Become a Full-Stack Web Designer in 2023 - Learn Everything from Web Design Fundamentals to Front-End Web Development,Brad Hussey,4.6 out of 5,"13,846",35 total hours,263 lectures,All Levels,₱799,"₱4,790",Bestseller
The Complete Front-End Web Development Course,"Get started as a front-end web developer using HTML, CSS, JavaScript, jQuery, and Bootstrap!","Joseph Delgadillo, Nick Germaine",4.4 out of 5,"13,446",17 total hours,126 lectures,All Levels,₱799,"₱3,790",None
ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,Stephen Grider,4.6 out of 5,"12,836",6.5 total hours,70 lectures,Beginner,₱799,"₱1,790",None
Master Java Web Services and REST API with Spring Boot,Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,in28Minutes Official,4.5 out of 5,"12,696",12 total hours,134 lectures,All Levels,₱599,₱799,None
Build Websites from Scratch with HTML & CSS,Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML & CSS Beginner's Course,"Brad Hussey, Code College",4.6 out of 5,"12,689",8.5 total hours,81 lectures,Beginner,₱649,"₱2,350",None
The Modern JavaScript Bootcamp,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",Andrew Mead,4.7 out of 5,"12,685",29.5 total hours,155 lectures,All Levels,₱899,"₱1,850",None
AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6 out of 5,"12,573",8 total hours,142 lectures,All Levels,₱799,"₱2,350",Bestseller
JavaScript: The Advanced Concepts (2023 Update),Learn modern advanced JavaScript practices and be in the top 10% of JavaScript developers,"Andrei Neagoie, Zero To Mastery",4.7 out of 5,"12,205",25.5 total hours,230 lectures,All Levels,₱799,"₱3,990",None
PHP with Laravel for beginners - Become a Master in Laravel,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,"Edwin Diaz, Coding Faculty Solutions",4.4 out of 5,"12,027",43 total hours,409 lectures,All Levels,₱899,"₱2,450",Bestseller
"Beginner Full Stack Web Development: HTML, CSS, React & Node","Learn web development with HTML, CSS, Bootstrap 4, ES6 React and Node","Mark Wahlbeck, Devslopes by Mark Wahlbeck",4.4 out of 5,"11,710",31.5 total hours,168 lectures,Beginner,₱899,"₱4,790",None
Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,"Java Spring Boot Framework in 100 steps - Build a REST API and a Web application with Java, JPA, SpringBoot and Maven",in28Minutes Official,4.5 out of 5,"11,618",15.5 total hours,157 lectures,All Levels,₱599,₱799,None
Node.js: The Complete Guide to Build RESTful APIs (2018),"Learn to build fast, scalable and secure RESTful services with Node, Express and MongoDB, from setup to production",Mosh Hamedani,4.7 out of 5,"11,475",15 total hours,224 lectures,Intermediate,₱799,"₱3,990",None
AWS CloudFormation Master Class v2 [2022],Write Complete AWS CloudFormation Templates using YAML. Learn all the Recent Cloud Formation Features,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.6 out of 5,"11,110",7 total hours,113 lectures,All Levels,₱899,"₱2,290",Bestseller
Advanced React and Redux,"Walkthroughs on advanced React v16.6.3 and Redux v4.0.0 - Authentication, Testing, Middlewares, HOC's, and Deployment",Stephen Grider,4.3 out of 5,"10,827",21 total hours,240 lectures,Intermediate,₱749,"₱2,350",None
Progressive Web Apps (PWA) - The Complete Guide,"Build a Progressive Web App (PWA) that feels like an iOS & Android App, using Device Camera, Push Notifications and more","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6 out of 5,"10,362",16 total hours,208 lectures,All Levels,₱799,"₱2,450",Bestseller
"Modern JavaScript (Complete guide, from Novice to Ninja)",Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.,The Net Ninja (Shaun Pelling),4.8 out of 5,"9,866",20.5 total hours,188 lectures,All Levels,₱699,"₱1,990",None
